LapNumber,Stint,Compound,Driver,Team,TrackStatus,LapTime(s)
1.0,1.0,2,18,8,12,84.238
2.0,1.0,2,18,8,1,79.367
3.0,1.0,2,18,8,1,79.074
4.0,1.0,2,18,8,1,78.129
5.0,1.0,2,18,8,1,78.019
6.0,1.0,2,18,8,1,77.64
7.0,1.0,2,18,8,1,77.633
8.0,1.0,2,18,8,1,77.397
9.0,1.0,2,18,8,1,77.031
10.0,1.0,2,18,8,1,77.084
11.0,1.0,2,18,8,1,76.858
12.0,1.0,2,18,8,12,76.993
13.0,1.0,2,18,8,21,77.434
14.0,1.0,2,18,8,12,77.065
15.0,1.0,2,18,8,21,77.079
16.0,1.0,2,18,8,1,76.824
17.0,1.0,2,18,8,1,76.86
18.0,1.0,2,18,8,1,76.712
19.0,1.0,2,18,8,1,76.823
20.0,1.0,2,18,8,1,77.214
21.0,1.0,2,18,8,1,76.803
22.0,1.0,2,18,8,1,76.659
23.0,1.0,2,18,8,1,76.604
24.0,1.0,2,18,8,1,76.798
25.0,1.0,2,18,8,1,77.183
26.0,1.0,2,18,8,1,77.212
27.0,1.0,2,18,8,1,77.259
28.0,1.0,2,18,8,1,77.77
29.0,1.0,2,18,8,1,78.001
30.0,1.0,2,18,8,1,78.16
31.0,1.0,2,18,8,1,78.741
32.0,1.0,2,18,8,1,78.816
33.0,1.0,2,18,8,1,78.946
34.0,1.0,2,18,8,1,78.044
35.0,1.0,2,18,8,1,78.024
36.0,1.0,2,18,8,1,77.974
37.0,1.0,2,18,8,1,77.273
38.0,1.0,2,18,8,1,77.122
39.0,1.0,2,18,8,1,76.966
40.0,1.0,2,18,8,1,77.161
41.0,1.0,2,18,8,1,76.944
42.0,1.0,2,18,8,1,76.8
43.0,1.0,2,18,8,1,76.963
44.0,1.0,2,18,8,1,76.722
45.0,1.0,2,18,8,1,76.701
46.0,1.0,2,18,8,1,77.075
47.0,1.0,2,18,8,1,77.16
48.0,1.0,2,18,8,1,77.065
49.0,1.0,2,18,8,1,77.428
50.0,1.0,2,18,8,1,77.314
51.0,1.0,2,18,8,1,77.427
52.0,1.0,2,18,8,1,84.046
53.0,1.0,2,18,8,1,89.919
54.0,1.0,2,18,8,1,98.946
55.0,1.0,2,18,8,12,130.567
56.0,2.0,1,18,8,21,106.131
57.0,2.0,1,18,8,1,103.464
58.0,2.0,1,18,8,12,102.808
59.0,2.0,1,18,8,12,103.791
60.0,2.0,1,18,8,12,101.54
61.0,2.0,1,18,8,12,100.797
62.0,2.0,1,18,8,1,99.272
63.0,2.0,1,18,8,1,99.61
64.0,2.0,1,18,8,1,98.364
65.0,2.0,1,18,8,1,97.16
66.0,2.0,1,18,8,1,94.035
67.0,2.0,1,18,8,1,92.921
68.0,2.0,1,18,8,1,93.659
69.0,2.0,1,18,8,12,91.607
70.0,2.0,1,18,8,1,91.244
71.0,2.0,1,18,8,1,90.363
72.0,2.0,1,18,8,1,90.402
73.0,2.0,1,18,8,1,88.386
74.0,2.0,1,18,8,1,86.864
75.0,2.0,1,18,8,1,85.518
76.0,2.0,1,18,8,1,85.316
77.0,2.0,1,18,8,1,85.46
78.0,2.0,1,18,8,1,85.201
1.0,1.0,0,4,2,12,89.701
2.0,1.0,0,4,2,1,80.636
3.0,1.0,0,4,2,1,80.282
4.0,1.0,0,4,2,1,79.577
5.0,1.0,0,4,2,1,78.893
6.0,1.0,0,4,2,1,78.842
7.0,1.0,0,4,2,1,78.604
8.0,1.0,0,4,2,1,79.317
9.0,1.0,0,4,2,1,78.788
10.0,1.0,0,4,2,1,78.31
11.0,1.0,0,4,2,1,78.367
12.0,1.0,0,4,2,12,78.582
13.0,1.0,0,4,2,1,77.713
14.0,1.0,0,4,2,12,78.564
15.0,1.0,0,4,2,1,78.284
16.0,1.0,0,4,2,1,78.298
17.0,1.0,0,4,2,1,77.99
18.0,1.0,0,4,2,1,78.453
19.0,1.0,0,4,2,1,78.109
20.0,1.0,0,4,2,1,78.587
21.0,1.0,0,4,2,1,77.81
22.0,1.0,0,4,2,1,78.213
23.0,1.0,0,4,2,1,77.942
24.0,1.0,0,4,2,1,77.577
25.0,1.0,0,4,2,1,77.54
26.0,1.0,0,4,2,1,77.912
27.0,1.0,0,4,2,1,78.012
28.0,1.0,0,4,2,1,77.285
29.0,1.0,0,4,2,1,77.373
30.0,1.0,0,4,2,1,77.083
31.0,1.0,0,4,2,1,78.015
32.0,1.0,0,4,2,1,77.384
33.0,1.0,0,4,2,1,77.45
34.0,1.0,0,4,2,1,77.207
35.0,1.0,0,4,2,1,77.421
36.0,1.0,0,4,2,1,77.668
37.0,1.0,0,4,2,1,77.212
38.0,1.0,0,4,2,1,77.556
39.0,1.0,0,4,2,1,77.102
40.0,1.0,0,4,2,1,77.221
41.0,1.0,0,4,2,1,77.654
42.0,1.0,0,4,2,1,78.559
43.0,1.0,0,4,2,1,77.699
44.0,1.0,0,4,2,1,78.042
45.0,1.0,0,4,2,1,76.839
46.0,1.0,0,4,2,1,76.997
47.0,1.0,0,4,2,1,93.267
48.0,2.0,2,4,2,1,79.884
49.0,2.0,2,4,2,1,75.831
50.0,2.0,2,4,2,1,75.955
51.0,2.0,2,4,2,1,76.711
52.0,2.0,2,4,2,1,82.349
53.0,2.0,2,4,2,1,95.781
54.0,2.0,2,4,2,12,121.097
55.0,3.0,1,4,2,21,103.22
56.0,3.0,1,4,2,21,101.478
57.0,3.0,1,4,2,1,103.496
58.0,3.0,1,4,2,12,103.238
59.0,3.0,1,4,2,12,103.477
60.0,3.0,1,4,2,21,102.923
61.0,3.0,1,4,2,12,102.263
62.0,3.0,1,4,2,1,100.864
63.0,3.0,1,4,2,1,100.28
64.0,3.0,1,4,2,1,99.374
65.0,3.0,1,4,2,1,98.169
